OTU	Size	Taxonomy
Otu0123	248	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Flammeovirgaceae""(98);Reichenbachiella(96);"
Otu0124	245	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0125	242	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0126	240	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Flammeovirgaceae""(91);""Flammeovirgaceae""_unclassified(91);"
Otu0127	240	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(100);"
Otu0128	239	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
Otu0129	239	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0130	233	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Kordiimonadales(100);""Kordiimonadaceae""(100);Kordiimonas(100);"
Otu0131	230	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Oceanospirillales(100);Hahellaceae(100);Endozoicomonas(100);"
Otu0132	227	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);"
Otu0133	224	"Bacteria(100);""Proteobacteria""(100);Deltaproteobacteria(100);Bdellovibrionales(100);Bacteriovoracaceae(100);Bacteriovoracaceae_unclassified(57);"
Otu0134	223	"Bacteria(100);""Bacteroidetes""(100);Flavobacteria(100);""Flavobacteriales""(100);Flavobacteriaceae(100);Flavobacteriaceae_unclassified(100);"
Otu0135	220	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0136	220	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0137	219	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacteraceae_unclassified(100);"
Otu0138	218	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0139	216	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
Otu0140	215	"Bacteria(100);""Proteobacteria""(100);Gammaproteobacteria(100);Alteromonadales(100);Colwelliaceae(100);Thalassomonas(100);"
Otu0141	215	"Bacteria(100);""Proteobacteria""(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);"
Otu0142	215	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Flammeovirgaceae""(100);Reichenbachiella(99);"
Otu0143	214	"Bacteria(100);""Bacteroidetes""(100);""Sphingobacteria""(100);""Sphingobacteriales""(100);""Sphingobacteriales""_unclassified(100);""Sphingobacteriales""_unclassified(100);"
Otu0144	214	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0145	211	"Bacteria(100);""Bacteroidetes""(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);""Bacteroidetes""_unclassified(100);"
