"","Gene","module"
"g60670","g60670",1
"g17714","g17714",2
"g60679","g60679",6
"adi2mcaRNA17151_R1","adi2mcaRNA17151_R1",2
"adi2mcaRNA28813_R0","adi2mcaRNA28813_R0",1
"adi2mcaRNA35036_R0","adi2mcaRNA35036_R0",1
"g55099","g55099",0
"adi2mcaRNA32387_R0","adi2mcaRNA32387_R0",1
"g53134","g53134",2
"g6024","g6024",3
"g53131","g53131",0
"g55324","g55324",0
"g55326","g55326",1
"adi2mcaRNA19552_R1","adi2mcaRNA19552_R1",1
"adi2mcaRNA132_R0","adi2mcaRNA132_R0",6
"g474","g474",1
"g475","g475",6
"g476","g476",1
"g477","g477",1
"g23310","g23310",2
"g54031","g54031",1
"g57451","g57451",0
"g12672","g12672",4
"g54050","g54050",1
"g54053","g54053",0
"g50740","g50740",2
"g50749","g50749",2
"g50748","g50748",1
"g46002","g46002",0
"adi2mcaRNA34600_R0","adi2mcaRNA34600_R0",1
"g46004","g46004",0
"g16978","g16978",0
"adi2mcaRNA19518_R0","adi2mcaRNA19518_R0",0
"g44693","g44693",1
"g19663","g19663",1
"g31032","g31032",5
"g31030","g31030",0
"g44527","g44527",1
"g44529","g44529",1
"adi2mcaRNA10631_R0","adi2mcaRNA10631_R0",0
"g64367","g64367",0
"g46334","g46334",0
"g18538","g18538",2
"g18531","g18531",2
"adi2mcaRNA37566_R1","adi2mcaRNA37566_R1",3
"g71608","g71608",2
"g46583","g46583",7
"g34972","g34972",1
"g34978","g34978",0
"g34979","g34979",3
"g32010","g32010",4
"adi2mcaRNA18922_R0","adi2mcaRNA18922_R0",6
"g17710","g17710",1
"g65095","g65095",0
"g65094","g65094",0
"g59070","g59070",4
"g65546","g65546",3
"g65545","g65545",0
"g59072","g59072",0
"adi2mcaRNA578_R0","adi2mcaRNA578_R0",2
"g30625","g30625",1
"adi2mcaRNA4287_R0","adi2mcaRNA4287_R0",5
"g48535","g48535",9
"g59073","g59073",2
"adi2mcaRNA22214_R0","adi2mcaRNA22214_R0",6
"g8095","g8095",1
"g24047","g24047",1
"g37313","g37313",3
"adi2mcaRNA21245_R2","adi2mcaRNA21245_R2",1
"adi2mcaRNA5480_R1","adi2mcaRNA5480_R1",1
"g35590","g35590",1
"adi2mcaRNA716_R0","adi2mcaRNA716_R0",0
"g63651","g63651",1
"g63653","g63653",5
